"","days","beta_t"
"249",2020-11-04,0.238505139711865
"250",2020-11-05,0.236593275305085
"251",2020-11-06,0.234681410898305
"252",2020-11-07,0.232769546491526
"253",2020-11-08,0.230857682084746
"254",2020-11-09,0.228945817677966
"255",2020-11-10,0.227033953271187
"256",2020-11-11,0.225122088864407
"257",2020-11-12,0.223210224457627
"258",2020-11-13,0.221298360050848
"259",2020-11-14,0.219386495644068
"260",2020-11-15,0.217474631237288
"261",2020-11-16,0.215562766830509
"262",2020-11-17,0.213650902423729
"263",2020-11-18,0.211739038016949
"264",2020-11-19,0.20982717361017
"265",2020-11-20,0.20791530920339
"266",2020-11-21,0.20600344479661
"267",2020-11-22,0.204091580389831
"268",2020-11-23,0.202179715983051
"269",2020-11-24,0.200267851576271
"270",2020-11-25,0.198355987169492
"271",2020-11-26,0.196444122762712
"272",2020-11-27,0.194532258355932
"273",2020-11-28,0.192620393949153
"274",2020-11-29,0.190708529542373
"275",2020-11-30,0.188796665135593
"276",2020-12-01,0.186884800728814
"277",2020-12-02,0.184972936322034
"278",2020-12-03,0.183061071915254
"279",2020-12-04,0.181149207508475
"280",2020-12-05,0.179237343101695
"281",2020-12-06,0.177325478694915
"282",2020-12-07,0.175413614288136
"283",2020-12-08,0.173501749881356
"284",2020-12-09,0.171589885474576
"285",2020-12-10,0.169678021067797
"286",2020-12-11,0.167766156661017
"287",2020-12-12,0.165854292254237
"288",2020-12-13,0.163942427847458
"289",2020-12-14,0.162030563440678
"290",2020-12-15,0.160118699033898
"291",2020-12-16,0.158206834627119
"292",2020-12-17,0.156294970220339
"293",2020-12-18,0.154383105813559
"294",2020-12-19,0.15247124140678
"295",2020-12-20,0.150559377
"296",2020-12-21,0.14864751259322
"297",2020-12-22,0.146735648186441
"298",2020-12-23,0.144823783779661
"299",2020-12-24,0.142911919372882
"300",2020-12-25,0.141000054966102
"301",2020-12-26,0.140995299999999
"302",2020-12-27,0.234995299999998
"303",2020-12-28,0.328995299999998
"304",2020-12-29,0.422995299999998
"305",2020-12-30,0.422995300000003
"306",2020-12-31,0.328995300000003
"307",2021-01-01,0.234995300000004
"308",2021-01-02,0.140995300000004
"309",2021-01-03,0.141000052576271
"310",2021-01-04,0.140522086474576
"311",2021-01-05,0.140044120372881
"312",2021-01-06,0.139566154271186
"313",2021-01-07,0.139088188169492
"314",2021-01-08,0.138610222067797
"315",2021-01-09,0.138132255966102
"316",2021-01-10,0.137654289864407
"317",2021-01-11,0.137176323762712
"318",2021-01-12,0.136698357661017
"319",2021-01-13,0.136220391559322
"320",2021-01-14,0.135742425457627
"321",2021-01-15,0.135264459355932
"322",2021-01-16,0.134786493254237
"323",2021-01-17,0.134308527152542
"324",2021-01-18,0.133830561050847
"325",2021-01-19,0.133352594949152
"326",2021-01-20,0.132874628847458
"327",2021-01-21,0.132396662745763
"328",2021-01-22,0.131918696644068
"329",2021-01-23,0.131440730542373
"330",2021-01-24,0.130962764440678
"331",2021-01-25,0.130484798338983
"332",2021-01-26,0.130006832237288
"333",2021-01-27,0.129528866135593
"334",2021-01-28,0.129050900033898
"335",2021-01-29,0.128572933932203
"336",2021-01-30,0.128094967830508
"337",2021-01-31,0.127617001728814
"338",2021-02-01,0.127139035627119
"339",2021-02-02,0.126661069525424
"340",2021-02-03,0.126183103423729
"341",2021-02-04,0.125705137322034
"342",2021-02-05,0.125227171220339
"343",2021-02-06,0.124749205118644
"344",2021-02-07,0.124271239016949
"345",2021-02-08,0.123793272915254
"346",2021-02-09,0.123315306813559
"347",2021-02-10,0.122837340711864
"348",2021-02-11,0.122359374610169
"349",2021-02-12,0.121881408508475
"350",2021-02-13,0.12140344240678
"351",2021-02-14,0.120925476305085
"352",2021-02-15,0.12044751020339
"353",2021-02-16,0.119969544101695
"354",2021-02-17,0.119491578
"355",2021-02-18,0.119013611898305
"356",2021-02-19,0.11853564579661
"357",2021-02-20,0.118057679694915
"358",2021-02-21,0.11757971359322
"359",2021-02-22,0.117101747491525
"360",2021-02-23,0.11662378138983
"361",2021-02-24,0.116145815288136
"362",2021-02-25,0.115667849186441
"363",2021-02-26,0.115189883084746
"364",2021-02-27,0.114711916983051
"365",2021-02-28,0.114233950881356
"366",2021-03-01,0.113755984779661
"367",2021-03-02,0.113278018677966
"368",2021-03-03,0.112800052576271
"369",2021-03-04,0.112800058344828
"370",2021-03-05,0.111827644551724
"371",2021-03-06,0.110855230758621
"372",2021-03-07,0.109882816965517
"373",2021-03-08,0.108910403172414
"374",2021-03-09,0.10793798937931
"375",2021-03-10,0.106965575586207
"376",2021-03-11,0.105993161793103
"377",2021-03-12,0.105020748
"378",2021-03-13,0.104048334206896
"379",2021-03-14,0.103075920413793
"380",2021-03-15,0.10210350662069
"381",2021-03-16,0.101131092827586
"382",2021-03-17,0.100158679034483
"383",2021-03-18,0.0991862652413793
"384",2021-03-19,0.0982138514482758
"385",2021-03-20,0.0972414376551723
"386",2021-03-21,0.0962690238620689
"387",2021-03-22,0.0952966100689654
"388",2021-03-23,0.094324196275862
"389",2021-03-24,0.0933517824827585
"390",2021-03-25,0.0923793686896551
"391",2021-03-26,0.0914069548965517
"392",2021-03-27,0.0904345411034482
"393",2021-03-28,0.0894621273103448
"394",2021-03-29,0.0884897135172413
"395",2021-03-30,0.0875172997241379
"396",2021-03-31,0.0865448859310344
"397",2021-04-01,0.0855724721379309
"398",2021-04-02,0.0846000583448275
